t_ms,label,f1,f2,f3,f4,f5,ax,ay,az,gx,gy,gz
7060,0,1332,2514,211,671,1,1.71,9.36,4.53,0.51,0.22,-0.82
7080,0,1359,2345,179,0,1,1.92,10.05,4.44,0.55,0.23,-0.79
7100,0,1333,1783,135,0,4,2.28,11.39,4.23,0.59,0.27,-0.63
7120,0,1382,1,1,5,4,2.70,12.63,4.32,0.32,0.37,-0.25
7140,0,1354,0,1,0,0,3.55,12.73,4.40,-0.04,0.82,0.18
7160,0,1395,0,2,1,2,3.67,12.92,4.87,-0.37,1.22,0.71
7180,0,1402,3,5,0,0,3.74,13.13,4.62,-0.67,1.34,1.27
7200,0,1417,1,0,0,3,3.99,14.27,5.42,-1.10,1.38,1.64
7220,0,1379,4,0,2,2,3.79,13.30,5.82,-1.99,1.66,2.00
7240,0,1412,581,0,2,0,4.38,13.02,5.37,-2.47,1.85,2.63
7260,0,1429,1723,1,2,14,3.83,13.13,5.89,-2.93,1.85,3.34
7280,0,1319,2343,190,0,10,3.70,11.47,6.23,-4.18,2.23,3.68
7300,0,1318,2620,1016,94,6,1.98,9.91,6.55,-4.37,2.49,4.28
7320,0,1318,2901,1117,699,841,1.16,8.19,7.81,-4.37,1.91,4.15
7340,0,1306,3011,1523,904,1310,0.23,5.19,5.38,-4.37,1.18,4.17
7360,0,1325,3033,2047,1092,1964,0.95,1.72,4.06,-4.37,0.41,4.00
7380,0,1402,3060,2226,1359,2265,0.70,-0.31,6.01,-3.26,0.33,3.76
7400,0,1395,3061,2321,1495,2439,0.42,-1.77,6.96,-1.16,0.75,3.71
7420,0,1399,3079,2423,1802,2426,-0.24,-1.37,7.46,-0.61,-0.03,3.09
7440,0,1419,3089,2474,1955,2557,0.44,-2.77,7.60,-0.37,-0.09,2.53
7460,0,1414,3092,2532,2070,2759,0.28,-3.28,7.52,0.10,0.03,2.06
7480,0,1435,3097,2545,2170,2804,-0.29,-4.83,9.80,-0.14,0.13,2.00
7500,0,1430,3109,2590,2234,2801,-0.82,-4.77,8.48,-0.30,0.29,1.60
7520,0,1384,3126,2597,2310,2812,-1.60,-5.88,8.13,-0.41,0.27,0.71
7540,0,1378,3139,2629,2358,2819,-1.84,-6.89,7.46,-0.13,0.27,-0.24
7560,0,1305,3147,2667,2407,2845,-2.02,-7.30,7.70,0.46,0.24,-1.20
7580,0,1341,3159,2685,2607,2853,-2.91,-5.66,8.15,1.34,-0.19,-1.94
7600,0,1327,3159,2746,2712,2864,-2.56,-5.27,7.10,2.11,-0.87,-2.79
7620,0,1309,3162,2786,2740,2867,-1.98,-3.65,7.99,3.00,-1.39,-3.56
7640,0,1308,3161,2793,2750,2877,0.06,-1.14,9.88,3.51,-1.98,-4.28
7660,0,1314,3153,2723,2754,2873,0.23,1.02,10.48,3.97,-1.93,-4.37
7680,0,1325,3142,2706,2731,2827,0.82,4.47,9.98,4.37,-2.47,-4.37
7700,0,1338,3131,2661,2669,2755,1.82,7.89,9.66,4.37,-3.02,-4.37
7720,0,1226,3101,2603,2622,2498,4.75,13.97,10.18,4.37,-3.14,-4.37
7740,0,0,3047,2483,2402,2012,7.11,16.39,10.18,3.55,-3.02,-4.08
7760,0,1,2936,2109,2191,965,8.25,16.09,9.03,1.64,-1.88,-1.73
7780,0,14,2629,730,1021,97,6.71,17.18,8.31,0.85,-1.32,-0.47
7800,0,245,1120,682,1275,4,5.83,17.42,8.74,-0.35,-1.45,0.20
7820,0,270,158,479,1336,2,7.09,17.39,8.15,-0.74,-1.19,0.80
7840,0,225,3,110,655,1,4.89,20.25,8.00,-0.98,-0.00,1.26
7860,0,91,0,211,858,0,6.08,19.57,7.86,-0.55,-0.31,2.68
7880,0,5,1003,294,1133,0,4.73,18.32,11.66,-1.62,-1.39,3.77
7900,0,0,302,296,1138,5,5.52,14.88,10.32,-3.07,0.34,4.18
7920,0,2,0,237,836,6,3.55,13.14,8.14,-3.70,0.52,3.80
7940,0,7,1,118,663,1,2.43,10.79,5.24,-2.62,-0.31,4.19
7960,0,3,633,109,722,24,1.41,8.73,6.06,-1.70,-2.07,4.37
7980,0,1,691,268,654,0,1.72,4.67,11.63,-0.60,-2.64,4.37
8000,0,0,541,341,535,0,1.58,3.60,8.05,-0.57,-2.94,4.37
8020,0,0,534,328,529,0,2.49,2.40,3.34,-0.77,-2.44,4.37
8040,0,0,717,330,530,1,2.32,1.65,2.36,-0.91,-1.56,4.34
8060,0,0,919,406,521,1,2.08,0.27,2.50,-1.93,-1.39,3.71
